Counter,mX[GeV],mA[GeV],Epsilon,Capture,Annihilation,GammaAnn,IceCubeSignal,BranchingRatioFile,Resolution,Kappa0
3258, ,0.5536601209276798,1.697187129752137e-08,4481139164.78,1.1814012063e-46,23719378.9408,1.39463048135e-06, , , 
3259, ,0.5536601209276798,1.9828839491270715e-08,6116789942.14,1.1814012063e-46,44081204.094,3.89906783372e-10, , , 
3260, ,0.5536601209276798,2.3166736812810894e-08,8349466022.03,1.1814012063e-46,81846099.6042,3.9123258252e-15, , , 
3261, ,0.5536601209276798,2.706652070033241e-08,11397086300.6,1.1814012063e-46,151772005.119,4.18252382253e-22, , , 
3262, ,0.5536601209276798,3.162277660168379e-08,15557111772.1,1.1814012063e-46,280956177.725,9.07839526697e-32, , , 
3263, ,0.5536601209276798,3.6946012051993016e-08,21235579016.3,1.1814012063e-46,518890411.093,4.16291796001e-45, , , 
3264, ,0.5536601209276798,4.316533692595901e-08,28986731133.7,1.1814012063e-46,955326146.517,1.83718397625e-63, , , 
3265, ,0.5536601209276798,5.043159487171358e-08,39567114283.8,1.1814012063e-46,1751465746.78,1.15131940384e-88, , , 
3266, ,0.5536601209276798,5.892102187612295e-08,54009419879.9,1.1814012063e-46,3193130695.6,3.24428399824e-123, , , 
3267, ,0.5536601209276798,6.88395206964551e-08,73723279763.1,1.1814012063e-46,5778450731.33,1.59315192709e-170, , , 
3268, ,0.5536601209276798,8.042765483057629e-08,100632852401.0,1.1814012063e-46,10356034126.0,3.00431236942e-235, , , 
3269, ,0.5536601209276798,9.396648314954711e-08,137364629122.0,1.1814012063e-46,18329220683.4,0.0, , , 
